Ontology ID	parent class	label	definition	definition source	derives from	English syn.	British english syn.	Italian syn.	French syn.	German syn.	Spanish syn.	Portuguese syn.	see also	term editor	class type	Curation Status	image	Curation notes
ID	SC %	AL rdfs:label@en	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	C 'derives from' some % and 'derives from' only %	AL oboInOwl:hasExactSynonym@en	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso	A IAO:0000117 SPLIT=|	CLASS_TYPE	AI IAO:0000114	AI schema:image	
FOODON:00001211		pasta food product																
FOODON:00002631	pasta food product	tagliatelle	Tagliatelle is a traditional type of egg pasta from the Emilia-Romagna and Marche regions of Italy. Individual pieces of tagliatelle are long, flat ribbons that are similar in shape to fettuccine and are typically about 6.5 to 10 mm (0.26 to 0.39 in) wide.	https://en.wikipedia.org/wiki/Tagliatelle										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tagliatelles2.jpg/312px-Tagliatelles2.jpg	
FOODON:00002632	pasta food product	tortellini	Tortellini are ring-shaped pasta, sometimes also described as "navel shaped", hence their alternative name of "belly button" (ombelico). They are typically stuffed with a mix of meat (pork loin, raw prosciutto, Mortadella), and Parmigiano Reggiano cheese. 	https://en.wikipedia.org/wiki/Tortellini										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Tortellini_Bolognesi.jpg/320px-Tortellini_Bolognesi.jpg	
FOODON:00002633	pasta food product	tortelloni	Tortelloni are stuffed pasta, the same shape as tortellini, but larger. They are usually stuffed with ricotta cheese and leaf vegetables, such as spinach. 	https://en.wikipedia.org/wiki/Tortelloni										Shannon Russell	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Tortelloni_tomato_sauce1.JPG/275px-Tortelloni_tomato_sauce1.JPG	
FOODON:00002634	pasta food product	tortiglioni	Tortiglioni are a type of pasta, similar to rigatoni but larger and with deeper grooves which spiral around the pasta.	https://en.wikipedia.org/wiki/Tortiglioni										Lauren Tindale	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tortiglioni_closeup.png/320px-Tortiglioni_closeup.png	
FOODON:00002635	pasta food product	fusilli	Fusilli are a variety of pasta that are formed into corkscrew or helical shapes. The word fusilli presumably comes from fuso ("spindle"), as traditionally it is "spun" by pressing and rolling a small rod over the thin strips of pasta to wind them around it in a corkscrew shape.	https://en.wikipedia.org/wiki/Fusilli		rotini								Shannon Russell	subclass	IAO:0000122	https://en.wikipedia.org/wiki/Fusilli#/media/File:Fusilli.png	
FOODON:00002636	pasta food product	conchiglie	Conchiglie, commonly known as "shells" or "seashells" is a type of pasta. It is usually sold in the plain durum wheat variety. The shell shape of the pasta allows the sauce to adhere to it. 	https://en.wikipedia.org/wiki/Conchiglie										Emma Griffiths	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Conchiglie_rigate.png/320px-Conchiglie_rigate.png	
FOODON:00002637	pasta food product	linguine	Linguine is a type of pasta similar to fettuccine and trenette but elliptical in section rather than flat. It is about 4 millimetres in width, which is wider than spaghetti but not as wide as fettuccine. 	https://en.wikipedia.org/wiki/Linguine		trenette								Lauren Tindale	subclass	IAO:0000122	https://en.wikipedia.org/wiki/Linguine#/media/File:Linguine.jpg	
FOODON:00002831	pasta food product	cannelloni	Cannelloni are a cylindrical type of lasagna generally served baked with a filling and covered by a sauce in Italian cuisine.	https://en.wikipedia.org/wiki/Cannelloni										Damion Dooley	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Cannelloni2.png/320px-Cannelloni2.png	
FOODON:00002638	pasta food product	penne	Penne is an extruded type of pasta with cylinder-shaped pieces, their ends cut at a bias. It is lexically related to Latin penna (meaning "feather" or "quill"), and was originally intended to imitate the then-ubiquitous fountain pen's steel nibs.	https://en.wikipedia.org/wiki/Penne										Emma Griffiths	subclass	IAO:0000122	https://en.wikipedia.org/wiki/Penne#/media/File:Pennelisce_closeup.png	
																		
																		
																		
																		
